iter	Passed	Remaining
182	391	1746
183	392	1741
184	394	1737
185	395	1730
186	396	1723
187	397	1716
188	398	1709
189	399	1702
190	400	1695
191	401	1689
192	402	1684
193	404	1679
194	405	1673
195	406	1668
196	408	1663
197	409	1659
198	410	1654
199	411	1647
200	413	1642
201	414	1636
202	415	1630
203	416	1624
204	417	1619
205	418	1614
206	419	1608
207	420	1602
208	421	1596
209	423	1592
210	424	1588
211	425	1583
212	427	1578
213	428	1572
214	429	1567
215	430	1561
216	431	1556
217	432	1550
218	433	1545
219	434	1541
220	435	1536
221	436	1531
222	438	1526
223	439	1523
224	440	1518
225	442	1514
226	443	1510
227	444	1506
228	445	1501
229	447	1496
230	448	1492
231	449	1488
232	450	1483
233	451	1478
234	452	1474
235	454	1470
236	455	1466
237	456	1462
238	457	1457
239	458	1453
240	459	1448
241	461	1444
242	462	1440
243	463	1435
244	464	1431
245	465	1426
246	466	1422
247	468	1419
248	469	1415
249	470	1411
250	471	1407
251	472	1402
252	473	1398
253	474	1394
254	475	1390
255	476	1385
256	477	1381
257	478	1377
258	480	1373
259	480	1368
260	481	1364
261	483	1360
262	484	1357
263	485	1352
264	486	1348
265	487	1344
266	488	1340
267	489	1337
268	490	1332
269	491	1329
270	492	1325
271	493	1322
272	494	1317
273	495	1314
274	496	1310
275	498	1307
276	499	1303
277	500	1299
278	501	1296
279	502	1292
280	503	1288
281	504	1285
282	505	1281
283	506	1277
284	507	1274
285	508	1270
286	510	1267
287	511	1263
288	512	1259
289	513	1256
290	514	1253
291	515	1249
292	516	1246
293	517	1243
294	519	1241
295	520	1237
296	521	1235
297	523	1232
298	524	1229
299	525	1226
300	526	1222
301	527	1220
302	529	1217
303	530	1214
304	531	1211
305	532	1208
306	533	1204
307	534	1201
308	535	1198
309	536	1195
310	538	1192
311	539	1189
312	540	1186
313	541	1182
314	542	1179
315	543	1177
316	545	1175
317	546	1172
318	547	1169
319	548	1165
320	549	1162
321	550	1159
322	551	1156
323	552	1152
324	553	1149
325	554	1146
326	555	1144
327	557	1141
328	558	1138
329	559	1136
330	560	1132
331	561	1130
332	562	1127
333	563	1124
334	564	1121
335	566	1118
336	567	1115
337	568	1113
338	569	1110
339	570	1107
340	571	1105
341	572	1102
342	574	1099
343	575	1097
344	576	1094
345	577	1091
346	578	1088
347	579	1086
348	580	1083
349	581	1080
350	583	1078
351	584	1075
352	585	1073
353	586	1070
354	587	1068
355	588	1065
356	589	1062
357	591	1059
358	592	1057
359	593	1054
360	594	1052
361	595	1050
362	596	1047
363	597	1044
364	599	1042
365	600	1039
366	601	1037
367	602	1034
368	603	1032
369	604	1029
370	605	1027
371	607	1024
372	608	1022
373	609	1020
374	610	1017
375	611	1015
376	612	1012
377	613	1009
378	614	1007
379	615	1004
380	616	1002
381	618	999
382	619	997
383	620	994
384	621	992
385	622	990
386	623	987
387	624	985
388	625	982
389	626	979
390	627	977
391	628	975
392	629	972
393	631	970
394	632	968
395	633	965
396	634	963
397	635	961
398	636	958
399	637	956
400	638	953
401	639	951
402	641	949
403	642	947
404	643	945
405	644	943
406	646	941
407	647	939
408	648	937
409	649	934
410	650	932
411	651	930
412	653	928
413	654	925
414	655	923
415	656	921
416	657	919
417	658	916
418	659	914
419	660	912
420	661	909
421	662	907
422	663	905
423	664	903
424	666	901
425	667	899
426	668	897
427	669	895
428	670	892
429	671	890
430	673	888
431	674	886
432	675	885
433	677	883
434	678	880
435	679	878
436	680	876
437	681	874
438	682	872
439	684	870
440	685	868
441	686	866
442	687	864
443	688	862
444	690	860
445	691	858
446	692	856
447	693	854
448	694	852
449	695	850
450	696	848
451	698	846
452	699	844
453	700	842
454	701	840
455	702	838
456	703	836
457	704	834
458	706	832
459	707	830
460	708	827
461	709	825
462	710	823
463	711	821
464	712	819
465	713	817
466	714	815
